Designator;Val;Package;Mid X;Mid Y;Rotation;Layer
C1;10uf;C_0805;74.93;-124.8918;0;top
C2;22uf;C_0806;73.914;-128.5748;270;top
C3;0.1uf;C_0807;115.189;-125.6538;0;top
C4;0.1uf;C_0808;115.59;-109.5248;0;top
C5;0.1uf;C_0809;94.615;-132.1308;180;top
C6;0.1uf;C_0810;92.329;-124.8918;0;top
C7;0.1uf;C_0811;102.362;-107.3658;180;top
C8;0.1uf;C_0812;92.075;-116.7638;270;top
C9;0.1uf;C_0813;92.583;-110.6678;180;top
C10;0.1uf;C_0814;126.619;-113.4618;180;top
C11;0.1uf;C_0815;174.498;-140.335;90;top
C12;0.1uf;C_0816;148.463;-140.8938;90;top
J2;USB_B_Micro;USB_Micro-B_Amphenol_10103594-0001LF_Horizontal;173.736;-102.0318;90;top
Q1;NPN_BCE;SOT-23;71.628;-142.748;270;top
R1;1k;R_0805;72.644;-138.2268;90;top
R2;330R;R_0806;65.151;-134.6708;270;top
R3;1k;R_0807;63.119;-116.967;270;top
R4;10k;R_0808;76.581;-108.6358;270;top
R5;10k;R_0809;71.501;-108.712;270;top
R6;10k;R_0810;66.548;-108.712;270;top
U1;XC95144XL-TQ100;TQFP-100_14x14mm_Pitch0.5mm;103.759;-118.491;180;top
U3;74HCT245;SSOP-20;133.731;-117.094;180;top
U4;LM1117-3.3;SOT-223;67.056;-127.381;180;top
